equipment_id,inventory_number,name,category,model,serial_number,status,location_id,purchase_date,warranty_end_date,last_maintenance_date,next_maintenance_date,responsible_person_id,created_at
EQ0043,INV-24-0043,Погрузчик #043,Погрузчик,Still RX,EL-130094,рабочее,6,2020-06-26,2025-06-25,2022-02-05,2022-08-01,5,2020-06-26 11:00:00
EQ0044,INV-24-0044,Конвейер #044,Конвейер,Krones Flow,BB-110644,рабочее,14,2020-12-15,2024-12-14,2023-02-10,2023-07-10,6,2020-12-15 09:00:00
EQ0045,INV-24-0045,Холодильник #045,Холодильник,Polair PR,SN-197573,рабочее,27,2022-04-25,2025-04-24,2025-03-25,2025-10-05,8,2022-04-25 12:00:00
EQ0046,INV-24-0046,Шкаф управления #046,Шкаф управления,Schneider Prisma,EL-546173,резерв,20,2022-03-02,2026-03-01,2025-01-24,2025-08-27,11,2022-03-02 14:00:00
EQ0047,INV-24-0047,Погрузчик #047,Погрузчик,Jungheinrich EFG,BB-301939,рабочее,45,2023-11-29,2027-11-28,2024-11-10,2025-02-28,8,2023-11-29 14:00:00
EQ0048,INV-24-0048,Шкаф управления #048,Шкаф управления,Schneider Prisma,BB-396745,резерв,13,2021-04-15,2026-04-14,2023-01-31,2023-09-02,4,2021-04-15 09:00:00
EQ0049,INV-24-0049,Погрузчик #049,Погрузчик,Still RX,EL-147726,резерв,24,2023-09-25,2025-09-24,2025-09-30,2026-01-20,3,2023-09-25 14:00:00
EQ0050,INV-24-0050,Погрузчик #050,Погрузчик,Linde E,EL-601968,рабочее,9,2020-07-23,2025-07-22,2021-05-19,2021-10-18,11,2020-07-23 08:00:00
EQ0051,INV-24-0051,Холодильник #051,Холодильник,Бирюса F,BB-760021,рабочее,31,2020-10-26,2022-10-26,2023-04-24,2023-07-31,2,2020-10-26 08:00:00
EQ0052,INV-24-0052,Конвейер #052,Конвейер,Festo Move,BB-498855,рабочее,20,2024-01-14,2026-01-13,2025-10-15,2026-03-01,2,2024-01-14 13:00:00
EQ0053,INV-24-0053,Погрузчик #053,Погрузчик,Linde E,BB-321275,рабочее,28,2022-03-29,2024-03-28,2025-11-25,2026-04-07,5,2022-03-29 07:00:00
EQ0054,INV-24-0054,Конвейер #054,Конвейер,Interroll SL2,BB-722656,рабочее,12,2025-01-03,2028-01-03,2025-04-04,2025-10-16,9,2025-01-03 06:00:00
EQ0055,INV-24-0055,Конвейер #055,Конвейер,Krones Flow,BB-718439,рабочее,19,2020-08-10,2025-08-09,2021-04-02,2021-08-27,12,2020-08-10 09:00:00
EQ0056,INV-24-0056,Датчик #056,Датчик,Siemens Sitrans,SN-273982,на ремонте,35,2021-10-18,2024-10-17,2023-07-14,2023-10-20,4,2021-10-18 10:00:00
EQ0057,INV-24-0057,Датчик #057,Датчик,Siemens Sitrans,EL-559023,рабочее,30,2023-09-22,2028-09-20,2024-09-24,2025-04-30,12,2023-09-22 06:00:00
EQ0058,INV-24-0058,Датчик #058,Датчик,Schneider XS,BB-961322,рабочее,21,2024-01-10,2026-01-09,2024-07-11,2024-10-04,10,2024-01-10 06:00:00
EQ0059,INV-24-0059,Конвейер #059,Конвейер,Krones Flow,BB-953797,рабочее,34,2022-12-13,2026-12-12,2023-09-14,2024-03-23,11,2022-12-13 07:00:00
EQ0060,INV-24-0060,Датчик #060,Датчик,Omron E3,BB-619536,рабочее,27,2023-08-18,2025-08-17,2024-04-28,2024-10-30,6,2023-08-18 12:00:00
EQ0061,INV-24-0061,Упаковочная машина #061,Упаковочная машина,Ishida Inspira,BB-964998,резерв,30,2023-08-31,2027-08-30,2024-10-25,2025-04-26,2,2023-08-31 14:00:00
EQ0062,INV-24-0062,Датчик #062,Датчик,Omron E3,SN-380028,рабочее,4,2022-07-10,2026-07-09,2025-07-24,2025-10-25,4,2022-07-10 10:00:00
EQ0063,INV-24-0063,Датчик #063,Датчик,Schneider XS,BB-527809,рабочее,32,2025-04-07,2028-04-06,2025-08-15,2025-11-06,2,2025-04-07 07:00:00
EQ0064,INV-24-0064,Датчик #064,Датчик,Siemens Sitrans,EL-595158,рабочее,42,2022-08-20,2026-08-19,2025-09-25,2026-03-30,3,2022-08-20 14:00:00
EQ0065,INV-24-0065,Конвейер #065,Конвейер,Krones Flow,EL-925981,рабочее,13,2022-07-31,2025-07-30,2023-03-20,2023-09-22,10,2022-07-31 06:00:00
EQ0066,INV-24-0066,Погрузчик #066,Погрузчик,Linde E,EL-461888,рабочее,20,2022-03-06,2027-03-05,2023-04-04,2023-11-07,10,2022-03-06 14:00:00
EQ0067,INV-24-0067,Датчик #067,Датчик,Omron E3,EL-145767,рабочее,21,2021-07-08,2024-07-07,2024-12-20,2025-05-08,4,2021-07-08 13:00:00
EQ0068,INV-24-0068,Шкаф управления #068,Шкаф управления,Siemens SIVACON,BB-718849,рабочее,25,2020-12-26,2023-12-26,2024-01-04,2024-04-25,11,2020-12-26 07:00:00
EQ0069,INV-24-0069,Датчик #069,Датчик,Siemens Sitrans,EL-919488,резерв,34,2025-05-05,2028-05-04,2025-11-15,2026-02-22,8,2025-05-05 11:00:00
EQ0070,INV-24-0070,Упаковочная машина #070,Упаковочная машина,Bosch Pack,BB-853629,резерв,26,2024-12-23,2028-12-22,2025-10-20,2026-03-30,11,2024-12-23 13:00:00
EQ0071,INV-24-0071,Упаковочная машина #071,Упаковочная машина,Ishida Inspira,SN-897305,рабочее,40,2024-02-11,2028-02-10,2024-12-29,2025-07-08,2,2024-02-11 07:00:00
EQ0072,INV-24-0072,Датчик #072,Датчик,Siemens Sitrans,EL-475876,рабочее,45,2020-05-12,2022-05-12,2020-11-12,2021-02-14,5,2020-05-12 08:00:00
EQ0073,INV-24-0073,Конвейер #073,Конвейер,Festo Move,BB-501126,рабочее,27,2021-08-09,2024-08-08,2022-10-21,2023-01-29,10,2021-08-09 09:00:00
EQ0074,INV-24-0074,Датчик #074,Датчик,Schneider XS,EL-401603,рабочее,10,2022-11-04,2026-11-03,2025-08-31,2025-11-21,4,2022-11-04 08:00:00
EQ0075,INV-24-0075,Холодильник #075,Холодильник,Бирюса F,EL-308894,резерв,23,2023-10-02,2028-09-30,2025-11-05,2026-05-20,10,2023-10-02 13:00:00
EQ0076,INV-24-0076,Холодильник #076,Холодильник,Polair PR,BB-515032,рабочее,25,2023-06-01,2027-05-31,2025-08-15,2025-11-08,10,2023-06-01 06:00:00
EQ0077,INV-24-0077,Упаковочная машина #077,Упаковочная машина,Bosch Pack,BB-299367,рабочее,32,2021-01-29,2024-01-29,2024-09-23,2025-02-06,5,2021-01-29 08:00:00
EQ0078,INV-24-0078,Шкаф управления #078,Шкаф управления,Schneider Prisma,BB-237795,рабочее,41,2025-03-17,2029-03-16,2025-10-05,2026-03-27,11,2025-03-17 10:00:00
EQ0079,INV-24-0079,Погрузчик #079,Погрузчик,Linde E,EL-970813,рабочее,27,2024-04-20,2027-04-20,2025-07-28,2026-02-21,3,2024-04-20 13:00:00
EQ0080,INV-24-0080,Погрузчик #080,Погрузчик,Linde E,BB-483542,рабочее,22,2022-10-20,2024-10-19,2023-11-02,2024-05-01,2,2022-10-20 12:00:00
EQ0081,INV-24-0081,Холодильник #081,Холодильник,Бирюса F,BB-489518,рабочее,35,2022-11-17,2026-11-16,2024-08-04,2025-01-28,2,2022-11-17 09:00:00
EQ0082,INV-24-0082,Датчик #082,Датчик,Siemens Sitrans,BB-416869,рабочее,40,2023-08-04,2026-08-03,2025-08-26,2026-03-12,9,2023-08-04 07:00:00
EQ0083,INV-24-0083,Конвейер #083,Конвейер,Interroll SL2,SN-507524,рабочее,3,2022-09-01,2024-08-31,2023-06-17,2024-01-20,5,2022-09-01 14:00:00
EQ0084,INV-24-0084,Датчик #084,Датчик,Schneider XS,SN-823811,рабочее,10,2021-10-03,2023-10-03,2024-09-29,2025-02-27,7,2021-10-03 13:00:00
EQ0085,INV-24-0085,Датчик #085,Датчик,Siemens Sitrans,EL-389282,рабочее,24,2021-08-01,2025-07-31,2024-11-18,2025-02-21,2,2021-08-01 07:00:00
EQ0086,INV-24-0086,Датчик #086,Датчик,Siemens Sitrans,SN-925206,рабочее,43,2021-10-30,2023-10-30,2022-05-11,2022-09-30,4,2021-10-30 07:00:00
EQ0087,INV-24-0087,Упаковочная машина #087,Упаковочная машина,Ishida Inspira,EL-251716,резерв,38,2020-11-13,2023-11-13,2022-12-15,2023-03-05,4,2020-11-13 14:00:00
EQ0088,INV-24-0088,Погрузчик #088,Погрузчик,Still RX,SN-717457,рабочее,8,2020-07-27,2022-07-27,2021-07-21,2022-01-08,11,2020-07-27 08:00:00
EQ0089,INV-24-0089,Погрузчик #089,Погрузчик,Still RX,EL-915809,рабочее,9,2023-01-25,2025-01-24,2025-05-27,2025-12-14,12,2023-01-25 07:00:00
EQ0090,INV-24-0090,Датчик #090,Датчик,Schneider XS,EL-988456,рабочее,15,2025-03-09,2029-03-08,2025-10-02,2026-01-05,10,2025-03-09 07:00:00
EQ0091,INV-24-0091,Датчик #091,Датчик,Schneider XS,SN-388375,рабочее,29,2020-05-21,2022-05-21,2022-06-09,2022-09-13,2,2020-05-21 14:00:00
EQ0092,INV-24-0092,Шкаф управления #092,Шкаф управления,Siemens SIVACON,SN-931621,на ремонте,25,2022-06-15,2026-06-14,2025-03-30,2025-10-06,10,2022-06-15 14:00:00
EQ0093,INV-24-0093,Шкаф управления #093,Шкаф управления,Schneider Prisma,EL-536196,на ремонте,28,2020-06-13,2023-06-13,2023-01-06,2023-07-21,8,2020-06-13 11:00:00
EQ0094,INV-24-0094,Датчик #094,Датчик,Omron E3,SN-972176,рабочее,43,2023-05-01,2026-04-30,2025-07-02,2025-10-07,5,2023-05-01 12:00:00
EQ0095,INV-24-0095,Холодильник #095,Холодильник,Atesy CF,BB-228168,рабочее,24,2022-04-23,2024-04-22,2025-09-27,2026-03-10,3,2022-04-23 12:00:00
EQ0096,INV-24-0096,Шкаф управления #096,Шкаф управления,Schneider Prisma,SN-262246,рабочее,19,2023-09-05,2027-09-04,2024-03-19,2024-10-14,10,2023-09-05 09:00:00
EQ0097,INV-24-0097,Холодильник #097,Холодильник,Бирюса F,BB-904711,на ремонте,36,2024-10-13,2028-10-12,2025-10-31,2026-05-08,6,2024-10-13 14:00:00
EQ0098,INV-24-0098,Холодильник #098,Холодильник,Atesy CF,EL-468074,рабочее,43,2023-12-06,2025-12-05,2024-09-05,2025-02-11,12,2023-12-06 08:00:00
EQ0099,INV-24-0099,Упаковочная машина #099,Упаковочная машина,Bosch Pack,EL-540226,рабочее,26,2024-08-19,2026-08-19,2025-01-02,2025-05-17,2,2024-08-19 08:00:00
EQ0100,INV-24-0100,Погрузчик #100,Погрузчик,Jungheinrich EFG,BB-152179,рабочее,21,2022-01-31,2024-01-31,2022-08-16,2022-12-14,10,2022-01-31 10:00:00
EQ0101,INV-24-0101,Датчик #101,Датчик,Schneider XS,BB-219346,рабочее,28,2022-01-09,2027-01-08,2024-08-04,2024-12-17,8,2022-01-09 07:00:00
EQ0102,INV-24-0102,Погрузчик #102,Погрузчик,Linde E,BB-157443,рабочее,44,2022-09-13,2026-09-12,2023-03-15,2023-09-12,10,2022-09-13 10:00:00
EQ0103,INV-24-0103,Конвейер #103,Конвейер,Interroll SL2,SN-235461,рабочее,17,2023-08-04,2025-08-03,2023-11-09,2024-05-17,5,2023-08-04 09:00:00
EQ0104,INV-24-0104,Упаковочная машина #104,Упаковочная машина,Bosch Pack,EL-181644,списано,43,2025-01-09,2030-01-08,2025-04-30,2025-07-23,6,2025-01-09 12:00:00
EQ0105,INV-24-0105,Упаковочная машина #105,Упаковочная машина,Ulma FM,SN-940247,резерв,41,2023-10-22,2025-10-21,2025-03-09,2025-08-19,7,2023-10-22 13:00:00
EQ0106,INV-24-0106,Шкаф управления #106,Шкаф управления,Siemens SIVACON,BB-182467,рабочее,6,2020-09-10,2022-09-10,2022-04-21,2022-10-20,7,2020-09-10 10:00:00
EQ0107,INV-24-0107,Шкаф управления #107,Шкаф управления,Siemens SIVACON,BB-634723,рабочее,15,2021-01-22,2024-01-22,2021-09-25,2022-01-12,6,2021-01-22 11:00:00
EQ0108,INV-24-0108,Погрузчик #108,Погрузчик,Linde E,SN-731661,рабочее,42,2024-02-08,2026-02-07,2024-10-04,2025-02-11,3,2024-02-08 07:00:00
EQ0109,INV-24-0109,Конвейер #109,Конвейер,Festo Move,BB-431495,рабочее,32,2021-03-13,2026-03-12,2025-04-05,2025-09-14,8,2021-03-13 07:00:00
EQ0110,INV-24-0110,Датчик #110,Датчик,Omron E3,BB-177794,рабочее,41,2020-12-18,2024-12-17,2024-07-11,2024-12-28,5,2020-12-18 13:00:00
